Unnamed: 0,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent,cum_install,viable_avg,solar_pen,solar_pen_cum,solar_pen_cum_n,average_income_n,solar_min_yr,solar_max_yr,solar_pen_cum_n_yr,income_min_yr,income_max_yr,average_income_n_yr
33,3040,2001,512956638.0,7276.0,9534.0,0.0,53802.87791063562,0.0,0.0,7571.555555555556,0.0,0.0,0.0,0.0091572166618979,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.0337197722448292
34,3041,2001,223716146.0,3831.0,4023.0,0.0,55609.28312204823,0.0,0.0,3899.777777777778,0.0,0.0,0.0,0.0094937580735476,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03495902432008002
35,3042,2001,234433143.0,5411.0,5721.0,0.0,40977.65128474043,0.0,0.0,5858.333333333333,0.0,0.0,0.0,0.0067678192851987,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02492125427594344
36,3043,2001,283437643.0,5835.0,6493.0,0.0,43652.80194055136,0.0,0.0,6565.444444444444,0.0,0.0,0.0,0.007266211878618,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.026756493667901247
37,3044,2001,350612105.0,8109.0,9173.0,0.0,38222.1852174861,0.0,0.0,9276.222222222224,0.0,0.0,0.0,0.0062544635695666,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02303091592851482
38,3046,2001,373801545.0,8913.0,11119.0,0.0,33618.270078244444,0.0,0.0,11103.722222222224,0.0,0.0,0.0,0.0053967334820499,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.019872482065205564
39,3047,2001,173447471.0,5800.0,6237.0,0.0,27809.43899310566,0.0,0.0,6007.444444444444,0.0,0.0,0.0,0.0043145221370671,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.01588743710875838
40,3048,2001,173810974.0,4972.0,5354.0,0.0,32463.760552857675,0.0,0.0,5310.888888888889,0.0,0.0,0.0,0.0051816431673288,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.019080451397782076
41,3049,2001,144352237.0,2754.0,2917.0,0.0,49486.539938292764,0.0,0.0,3105.777777777778,0.0,0.0,0.0,0.0083530634933887,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03075862556748604
42,3051,2001,147741551.0,1987.0,4244.0,0.0,34811.86404335532,0.0,0.0,2233.9444444444443,0.0,0.0,0.0,0.0056191054035972,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.020691325915370172
43,3052,2001,81643434.0,309.0,1140.0,0.0,71617.04736842106,0.0,0.0,688.0,0.0,0.0,0.0,0.0124760765161609,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.045940865457999684
44,3053,2001,151101669.0,1333.0,5975.0,0.0,25288.982259414224,0.0,0.0,1519.388888888889,0.0,0.0,0.0,0.0038449497167711,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.01415832272286461
45,3054,2001,209628489.0,2885.0,4041.0,0.0,51875.3994060876,0.0,0.0,3004.1111111111118,0.0,0.0,0.0,0.0087981187514476,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.0323974599963528
46,3055,2001,192458427.0,3287.0,5825.0,0.0,33040.07330472103,0.0,0.0,3769.8888888888887,0.0,0.0,0.0,0.0052890128238369,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.019475820481766104
47,3056,2001,348116126.0,6414.0,9209.0,0.0,37801.72939515691,0.0,0.0,7003.111111111111,0.0,0.0,0.0,0.0061761307596915,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.022742469711087624
48,3057,2001,136557619.0,2170.0,2833.0,0.0,48202.4775855983,0.0,0.0,2755.0,0.0,0.0,0.0,0.0081138369045304,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02987771749366373
49,3058,2001,421740460.0,10464.0,11869.0,0.0,35532.93959052995,0.0,0.0,11423.166666666666,0.0,0.0,0.0,0.0057534450196585,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02118600693300851
50,3059,2001,182601803.0,2994.0,3000.0,0.0,60867.26766666667,0.0,0.0,3780.8888888888887,0.0,0.0,0.0,0.0104733442316798,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03856617083260567
51,3060,2001,128255831.0,3878.0,4335.0,0.0,29586.120184544405,0.0,0.0,4472.0,0.0,0.0,0.0,0.0046455258301701,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.017106297550280133
52,3061,2001,55655504.0,1426.0,1806.0,0.0,30817.00110741972,0.0,0.0,1542.0555555555557,0.0,0.0,0.0,0.0048748444795739,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.01795072145274831
53,3062,2001,5442233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.0
54,3063,2001,10941832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.0
55,3064,2001,417506644.0,7279.0,7682.0,0.0,54348.6909658943,0.0,0.0,15653.888888888889,0.0,0.0,0.0,0.009258904087816,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.034094217555966984
56,3065,2001,192669011.0,1801.0,3879.0,0.0,49669.76308326888,0.0,0.0,1940.111111111111,0.0,0.0,0.0,0.0083871987889843,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.030884322538027923
57,3066,2001,92875252.0,622.0,2641.0,0.0,35166.69897765998,0.0,0.0,1360.2777777777778,0.0,0.0,0.0,0.0056852127470322,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.020934754093018457
58,3067,2001,96500798.0,1580.0,1945.0,0.0,49614.80616966581,0.0,0.0,1572.611111111111,0.0,0.0,0.0,0.0083769600689192,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.030846620327692333
59,3068,2001,394426312.0,5647.0,7529.0,0.0,52387.60950989508,0.0,0.0,5951.277777777777,0.0,0.0,0.0,0.008893545796447,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03274885260200825
60,3070,2001,394918767.0,7564.0,9716.0,0.0,40646.22962124331,0.0,0.0,7900.888888888889,0.0,0.0,0.0,0.0067060739393705,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.024693888355120663
61,3071,2001,262322608.0,4847.0,7849.0,0.0,33421.150210217864,0.0,0.0,5448.388888888889,0.0,0.0,0.0,0.0053600091644767,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.019737251495684522
62,3072,2001,386784843.0,9471.0,11006.0,0.0,35143.0894966382,0.0,0.0,10367.666666666666,0.0,0.0,0.0,0.0056808141945805,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.020918557229675176
63,3073,2001,559831446.0,15500.0,18588.0,0.0,30117.895739186573,0.0,0.0,17727.38888888889,0.0,0.0,0.0,0.0047445980066172,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.017471112684500557
64,3074,2001,277242500.0,6456.0,7049.0,0.0,39330.75613562208,0.0,0.0,6941.388888888889,0.0,0.0,0.0,0.0064609953152381,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.023791431233820222
65,3075,2001,241888644.0,6378.0,6578.0,0.0,36772.36910915172,0.0,0.0,7097.111111111111,0.0,0.0,0.0,0.0059843563108803,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.02203629544711107
66,3076,2001,280768895.0,3654.0,3943.0,0.0,71206.92239411616,0.0,0.0,7771.611111111111,0.0,0.0,0.0,0.0123996683897154,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04565950653459286
67,3078,2001,199288764.0,2691.0,3828.0,0.0,52060.805642633226,0.0,0.0,3141.5,0.0,0.0,0.0,0.0088326607668168,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03252465463792712
68,3079,2001,367985941.0,4410.0,5679.0,0.0,64797.66525796795,0.0,0.0,4961.833333333333,0.0,0.0,0.0,0.0112055949721914,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.04126254999538057
69,3081,2001,139923269.0,5025.0,5401.0,0.0,25906.918903906684,0.0,0.0,5118.222222222223,0.0,0.0,0.0,0.0039600740915978,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.014582247135960147
70,3082,2001,508535844.0,9451.0,10029.0,0.0,50706.53544720311,0.0,0.0,9967.722222222224,0.0,0.0,0.0,0.0085803541412349,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03159558172586179
71,3083,2001,384427087.0,8310.0,8563.0,0.0,44893.97255634707,0.0,0.0,9604.833333333334,0.0,0.0,0.0,0.0074974475440705,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.027607976630664825
72,3084,2001,492750886.0,8692.0,9157.0,0.0,53811.388664409744,0.0,0.0,8780.611111111111,0.0,0.0,0.0,0.0091588022535865,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.03372561089565344
73,3085,2001,211912098.0,3663.0,4320.0,0.0,49053.72638888889,0.0,0.0,4731.777777777777,0.0,0.0,0.0,0.0082724283834049,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.030461701551818487
74,3086,2001,4836639.0,30.0,216.0,0.0,22391.847222222223,0.0,0.0,9.166666666666666,0.0,0.0,0.0,0.0033052004351613,0.0,0.0352710646636185,0.0,4650.995475113122,1462308.6,0.012170794905496071
